SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season
42000,966,0040000063,"MAY 09, 2001",TOR @ PHI,L,13,0,0,0.0,0,0,0.0,0,2,0.0,5,2,7,1,0,1,2,2,0,-2,0,966,Jerome Williams,2000-01
42000,966,0040000062,"MAY 06, 2001",TOR @ PHI,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,0,966,Jerome Williams,2000-01
42000,966,0040000040,"MAY 04, 2001",TOR @ NYK,W,17,3,3,1.0,0,0,0.0,1,2,0.5,2,3,5,1,3,0,0,4,7,3,0,966,Jerome Williams,2000-01
42000,966,0040000032,"MAY 02, 2001",TOR vs. NYK,W,28,2,5,0.4,0,0,0.0,4,7,0.571,1,4,5,0,1,2,2,3,8,11,0,966,Jerome Williams,2000-01
42000,966,0040000024,"APR 29, 2001",TOR vs. NYK,L,10,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,2,2,-4,0,966,Jerome Williams,2000-01
42000,966,0040000016,"APR 26, 2001",TOR @ NYK,W,17,0,2,0.0,0,0,0.0,2,4,0.5,4,2,6,1,2,1,2,4,2,1,0,966,Jerome Williams,2000-01
42000,42,0040000029,"MAY 01, 2001",ORL vs. MIL,L,7,3,3,1.0,0,0,0.0,1,2,0.5,3,1,4,0,0,1,0,1,7,7,0,42,Monty Williams,2000-01
42000,42,0040000020,"APR 28, 2001",ORL vs. MIL,W,2,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,1,0,-5,0,42,Monty Williams,2000-01
42000,42,0040000006,"APR 22, 2001",ORL @ MIL,L,5,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,0,0,2,0,42,Monty Williams,2000-01
42000,281,0040000081,"JUN 01, 2001",MIL vs. PHI,W,26,6,10,0.6,0,0,0.0,0,0,0.0,4,3,7,1,2,1,1,3,12,10,0,281,Scott Williams,2000-01
42000,281,0040000080,"MAY 30, 2001",MIL @ PHI,L,10,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,2,4,0,-2,0,281,Scott Williams,2000-01
