SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season,TEAM_ABBREVIATION,TEAM_ID
22000,1507,20000479,"JAN 06, 2001",SAS vs. DET,W,38,6,16,0.375,1,4,0.25,4,8,0.5,1,2,3,6,2,0,4,4,17,12,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000447,"JAN 02, 2001",SAS vs. MIA,W,44,5,12,0.417,1,3,0.333,4,4,1.0,3,5,8,4,0,0,2,2,15,12,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000429,"DEC 30, 2000",SAS @ IND,W,42,5,17,0.294,0,1,0.0,1,1,1.0,3,7,10,7,1,0,0,2,11,11,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000415,"DEC 28, 2000",SAS @ CHI,L,38,4,10,0.4,1,2,0.5,6,6,1.0,0,5,5,7,1,0,2,3,15,2,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000404,"DEC 26, 2000",SAS vs. HOU,W,40,5,14,0.357,1,3,0.333,0,2,0.0,0,4,4,4,1,0,3,0,11,12,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000386,"DEC 23, 2000",SAS @ CHH,L,33,4,12,0.333,1,3,0.333,3,3,1.0,3,2,5,2,0,0,1,1,12,-7,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000380,"DEC 22, 2000",SAS vs. GSW,W,25,4,12,0.333,1,5,0.2,3,4,0.75,1,3,4,4,0,0,3,3,12,21,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000365,"DEC 20, 2000",SAS vs. CLE,W,30,5,11,0.455,0,0,0.0,3,3,1.0,2,0,2,4,2,0,1,0,13,9,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000356,"DEC 19, 2000",SAS @ HOU,W,38,6,16,0.375,1,3,0.333,2,4,0.5,0,2,2,4,1,0,2,4,15,8,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000343,"DEC 16, 2000",SAS vs. PHX,W,29,2,3,0.667,0,0,0.0,11,13,0.846,0,4,4,3,2,0,3,2,15,14,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000323,"DEC 14, 2000",SAS vs. DEN,L,31,2,6,0.333,0,1,0.0,7,8,0.875,0,2,2,3,0,0,0,3,11,-11,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000318,"DEC 13, 2000",SAS @ PHX,L,45,5,14,0.357,2,4,0.5,14,16,0.875,1,2,3,3,3,0,1,2,26,-11,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000301,"DEC 11, 2000",SAS @ UTA,W,25,4,8,0.5,2,3,0.667,8,8,1.0,0,2,2,0,2,0,4,3,18,2,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000289,"DEC 09, 2000",SAS vs. CHI,W,26,6,11,0.545,1,2,0.5,3,4,0.75,0,1,1,4,1,0,3,1,16,18,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000273,"DEC 07, 2000",SAS vs. NYK,L,37,4,11,0.364,2,6,0.333,5,6,0.833,1,4,5,2,5,0,2,0,15,1,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000259,"DEC 05, 2000",SAS @ SAC,L,34,3,11,0.273,0,2,0.0,0,0,0.0,0,5,5,1,4,0,0,1,6,-5,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000248,"DEC 03, 2000",SAS @ VAN,W,36,4,11,0.364,1,4,0.25,0,0,0.0,1,5,6,7,0,0,3,3,9,23,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000230,"DEC 01, 2000",SAS @ LAL,L,35,1,4,0.25,0,2,0.0,3,4,0.75,0,5,5,5,1,0,0,4,5,12,0,1507,Derek Anderson,2000-01,SAS,1610612759
22000,1507,20000214,"NOV 29, 2000",SAS vs. SAC,W,37,3,8,0.375,2,4,0.5,6,9,0.667,1,1,2,1,3,1,1,1,14,2,0,1507,Derek Anderson,2000-01,SAS,1610612759
